PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
1029,No || Focuses on legislation and methodology rather than AI/ML models.,No || Discusses legal frameworks and calculation methods rather than software systems or tools.,Yes || Presents a sample calculation for a thermal efficiency improvement project comparing methods between Poland and Czech Republic.,No || Not mentioned or unclear.,Yes
1030,Yes || Introduces a site-specific empirical model to estimate TBM performance based on geomechanical parameters.,No || Not mentioned or unclear.,Yes || Analyzes field performance data from actual 12.24 km tunnel construction project between Maroshi and Ruparel College in Mumbai.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as part of planning but TBM performance prediction is the primary focus.
1031,No || The paper compares structural systems rather than proposing AI/ML models for cost prediction.,No || E-TABS is mentioned as analysis software but not as a cost estimation tool or platform.,No || Uses a hypothetical B+G+20 storey building case rather than actual project implementation.,No || Not mentioned or unclear.,Yes
1032,Yes || Mentions a case-based reasoning model for cost estimation.,No || Not mentioned or unclear.,Yes || Includes SME case study and mentions cost estimation at preliminary stage of construction project.,No || Not mentioned or unclear.,No || Cost estimation is only one of many diverse construction topics covered in these proceedings.
1033,Yes || Proposes LS-SVM with MLIE and DE for cost prediction with simulation and performance comparison results.,No || Not mentioned or unclear.,No || Only mentions simulation and performance comparison without real project implementation.,No || Not mentioned or unclear.,Yes
1034,No || The paper uses risk assessment techniques and activity-based methods but does not propose or test AI/ML models for cost prediction.,No || While Primavera P6 is mentioned for scheduling it is not the focus; the paper does not describe a software system or platform for cost estimation.,Yes || The study examines 25 concrete residential buildings in Istanbul with site visits and data gathering from site engineers representing real-world implementation.,Yes || The paper mentions level of consciousness in the industry and how safety is perceived as extra cost by professionals.,No || The paper focuses primarily on safety cost estimation and risk assessment rather than general construction cost estimation.
1035,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1036,No || Proposes a simplified methodology using WBS and spreadsheets rather than AI/ML models.,Yes || Describes a spreadsheet-based tool for early-stage budget allocation and cost estimation.,No || Uses simulation but no mention of actual construction project implementation or real cost data validation.,Yes || Explicitly mentions project managers' decision-making and offers a simplified decision tool for their use.,Yes
1037,No || This is a systematic literature review identifying cost factors rather than proposing or testing AI/ML models.,No || Not mentioned or unclear.,No || This is a literature review analyzing existing research rather than implementing tools in real projects.,No || Not mentioned or unclear.,Yes
1038,Yes || Develops a Modular-Process-Model with Monte Carlo simulation for lifecycle cost estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1039,No || The paper uses a Bayesian model for landslide susceptibility mapping rather than cost estimation modeling.,Yes || Describes PEGGER as an ArcView GIS extension tool for designing road network alternatives.,Yes || Implemented in a real case study from the northern forests of Iran with actual environmental and economic evaluation.,No || Not mentioned or unclear.,No || Cost estimation is a secondary component; primary focus is on road planning in landslide-prone areas.
1040,No || Focuses on organizational semiotics and knowledge modeling rather than AI/ML models.,Yes || Discusses BIM-based cost estimation systems and semantic modeling applications.,Yes || Mentions pilot study and planned case study for data collection.,No || Not mentioned or unclear.,Yes
1041,No || Focuses on structural design automation rather than AI/ML models for cost prediction.,Yes || Describes a software tool for automated design of industrial hall construction system with cost estimation capabilities.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is a secondary feature of the structural design software.
1042,Yes || Proposes a boosting regression tree (BRT) model for cost estimation and compares its performance with neural network models.,No || Not mentioned or unclear.,Yes || Uses 234 actual cost datasets from building construction projects to evaluate model performance.,Yes || Mentions that the BRT model can support estimators in comprehending the decision making process.,Yes
1043,Yes || Proposes univariate and multivariate regression models for tunnel cost estimation with simulation results showing 13% and 11% error rates.,No || Not mentioned or unclear.,Yes || Uses real data from 12 tunnel sections in North-West Iran for model development and testing.,No || Not mentioned or unclear.,Yes.
1044,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analysis conducted on multirotor UAS applied to crop monitoring tasks in paddy fields with commercial sensors.,No || Not mentioned or unclear.,No
1045,No || Focuses on 3D visualization modeling and data structure rather than AI/ML models for prediction.,Yes || Proposes an object-oriented 3D visualization modeling system and BIM-based platform for highway design with automated cost estimation capabilities.,No || Proposes a research procedure but no actual implementation or testing with real projects mentioned.,No || Not mentioned or unclear.,No || Cost estimation is one of several aspects alongside cut/fill calculations and schedule planning in highway design.
1046,Yes || Proposes a revised case-based reasoning (CBR) model with regression analysis for cost prediction and demonstrates improved accuracy.,No || Not mentioned or unclear.,Yes || Applied to multihousing projects to confirm the proposed CBR model can increase accuracy of construction cost estimation.,No || Not mentioned or unclear.,Yes
1047,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analyzes actual excavation cycle times from the Ventilation Shaft of Mizunami Underground Research Laboratory and compares with planned times.,No || Not mentioned or unclear.,No
1048,No || Uses interpretive structural modeling (ISM) for factor analysis rather than AI/ML cost prediction models.,No || Not mentioned or unclear.,Yes || Applied to construction projects in the Sultanate of Oman with identification of specific regional factors.,No || Not mentioned or unclear.,Yes.
1049,No || This is a conference proceedings collection covering multiple topics; no single model is proposed.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1050,No || The paper focuses on robotic tile placement workflow rather than AI/ML models for cost prediction.,Yes || Describes a Rhinoceros-based digital workflow system that includes robotic programming and cost/time estimation.,Yes || Includes interviews with experts and field studies for industry implementation testing.,Yes || Mentions interviews with experts and studies industry implementation aspects.,No || Cost estimation is only a basic component within the broader robotic tile placement system.
1051,No || The paper conducts probabilistic analysis but does not propose or test a specific AI/ML model for cost prediction.,No || No software system or automation tool is described.,Yes || Analyzes 40 actual highway construction projects in southwest Colombia with real construction data and cost overruns.,No || Does not discuss how people interact with cost estimation tools or methods.,Yes
1052,No || The paper discusses cost estimation methodology but does not propose or test AI/ML models.,No || Not mentioned or unclear.,Yes || The paper applies cost estimation methods to the actual JSFR reactor design project with specific innovative technologies.,No || Not mentioned or unclear.,Yes
1053,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analysis conducted on multirotor UAS applied to crop monitoring tasks in paddy fields with commercial sensors.,No || Not mentioned or unclear.,No
1054,No || Focuses on mathematical modeling of physical phenomena for solar car design rather than AI/ML cost estimation models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one aspect among many topics in solar car design and construction.
1055,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analyzes 288 actual reconstruction projects in Christchurch with real cost performance data.,No || Not mentioned or unclear.,No
1056,Yes || Proposes an artificial neural network model to forecast contingency costs for road maintenance activities.,Yes || Describes development of a tool to estimate contingency costs for road maintenance contracts.,Yes || Tool was validated using actual CO cost data from road maintenance contracts.,No || Not mentioned or unclear.,Yes
1057,No || Focuses on BIM integration approach rather than proposing or testing AI/ML models.,Yes || Describes a BIM-based integrated approach for 4D and 5D modeling that includes cost estimation tools.,Yes || Includes a case study to demonstrate the methodology in cold-formed steel residential buildings.,Yes || Mentions facilitating communication among project participants and supporting project management activities.,Yes
1058,Yes || Proposes a real option-based adaptive model with probabilistic representation for simulating developer behaviors.,No || Not mentioned or unclear.,Yes || Applied to private residential housing supply in Singapore as a demonstration case.,No || Not mentioned or unclear.,No || Construction cost estimation is one component among several in a broader real estate development simulation framework.
1059,Yes || Proposes an innovative similarity measurement algorithm using orthogonalization and Sobol's sensitivity analysis for CBR systems.,No || Not mentioned or unclear.,Yes || Applied to craft quantity takeoff of a power plant project with demonstrated results.,No || Not mentioned or unclear.,Yes.
1060,Yes || Proposes a fuzzy decision model using AHP with Fuzzy Set Theory for contractor selection.,No || Not mentioned or unclear.,Yes || Includes a real case study and application example for contractor selection problem in the construction industry.,Yes || Mentions questionnaire survey and linguistic assessment involving judgment-based evaluations.,No || Primary focus is on contractor selection rather than cost estimation specifically.
1061,No || Focuses on BIM application methodology rather than proposing AI/ML models.,Yes || Describes BIM-based quantity takeoff system as a tool for cost management.,Yes || Includes comparative analysis with actual case projects and direct comparison between manual and BIM approaches.,No || Not mentioned or unclear.,Yes
1062,No || Focuses on geological variability considerations rather than AI/ML models.,No || Discusses management systems and mobile labs but not software platforms or BIM tools.,Yes || Reports results from actual Yukspor Tunnel construction project with real rock mass analysis.,No || Not mentioned or unclear.,Yes
1063,Yes || Proposes a Feed-Forward Artificial Neural Network with 10 neurons for predicting material quantities and emphasizes model performance metrics and generalization capability.,No || Not mentioned or unclear.,Yes || Uses actual data from 68 recently constructed concrete motorway bridges in Greece for training and validation.,No || Not mentioned or unclear.,Yes
1064,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1065,Yes || Develops a simplified road-user costs model for calculating vehicle operating and related costs.,No || Not mentioned or unclear.,Yes || Applied to a Portuguese road network under private concession with comparison of costs.,No || Not mentioned or unclear.,No
1066,Yes || Presents an agent-based model for construction bidding with simulation of different strategies and market dynamics.,Yes || Describes a virtual laboratory platform for simulating construction bidding environments.,No || Uses simulation rather than real construction project data or industry implementation.,No || Focuses on modeling contractor behavior rather than human interaction with tools.,No || Primary focus is on bidding strategy and market dynamics rather than cost estimation specifically.
1067,Yes || Develops and optimizes a cost model for CO2 vessel transport with fleet scheduling optimization.,No || Not mentioned or unclear.,Yes || Applied to real-world case of West Mediterranean region connection to European CO2 transport infrastructure.,No || Not mentioned or unclear.,Yes
1068,Yes || Proposes a linear regression model for culvert cost estimation using statistical techniques.,No || Not mentioned or unclear.,Yes || Utilizes a database derived from actual construction projects and provides cost estimates for real motorway projects.,No || Not mentioned or unclear.,Yes
1069,No || Focuses on causes of contractor failure rather than proposing or testing AI/ML models.,No || Not mentioned or unclear.,Yes || Conducted survey with 36 participants from owners contractors and subcontractors in Saudi Arabia.,Yes || Includes survey methodology and assessment by different stakeholder groups.,No || Cost estimation is mentioned as one cause of failure but not the primary focus.
1070,Yes || Proposes optimized AI models including ANNs and CBR with genetic algorithm optimization for bid award prediction.,No || Not mentioned or unclear.,Yes || Uses real data from Taiwan government e-procurement system for public bridge construction projects.,No || Not mentioned or unclear.,Yes.
1071,No || Focuses on rule-based semantic approach rather than AI/ML models for prediction or optimization.,Yes || Describes a BIM-based cost estimation system with rule-based semantic method and knowledge-based system components.,Yes || Mentions verification using actual building information gained from IFC and testing with prototype codes.,Yes || Discusses incorporation of expert reasoning and subjective recommendations into the automated system.,Yes
1072,Yes || Proposes artificial neural networks models for cost prediction with analysis of results to validate model effectiveness.,No || Not mentioned or unclear.,Yes || Uses dataset of 160 actual water treatment plant projects in Egypt and conducts interviews with experts and questionnaire surveys.,Yes || Mentions interviews with experts and officials and conducting questionnaire surveys to assess factor impacts.,Yes
1073,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Includes construction cost estimation based on 2011 data and comparison with conventional methods for Florida schools.,No || Not mentioned or unclear.,No
1074,Yes || Develops a mathematical model for calculating economic indicators of waste treatment scenarios with energy recovery.,No || Not mentioned or unclear.,Yes || Applied and verified in a case study of the city of Niš with real data comparison to EU costs.,No || Not mentioned or unclear.,No
1075,No || Focuses on integrating existing tools rather than proposing new AI/ML models.,Yes || Describes BIM-based software system with 3D visualization tools and automated damage assessment platform.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1076,Yes || Proposes BP neural network method for environmental cost prediction with simulation results.,No || Not mentioned or unclear.,Yes || Applied to Changsha-Yiyang inter-city railway project with validation results.,No || Not mentioned or unclear.,Yes
1077,No || Proposes an extension of EVM technique using historical data rather than an AI/ML model.,No || Not mentioned or unclear.,Yes || Evaluated through implementation in 22 real software development projects with hypothesis testing.,No || Not mentioned or unclear.,Yes
1078,Yes || Uses stepwise regression and error analysis to estimate worker-hours based on BIM design features.,No || Not mentioned or unclear.,Yes || Conducted in collaboration with a partner company using three years of project data with over 3000 records from actual fabrication projects.,Yes || Mentions benefits for estimators and shop production planners in configuring labor resources and scheduling.,Yes
1079,No || Focuses on BIM coordination methodology rather than proposing specific AI/ML models.,Yes || Describes BIM-based 3D-parametric modeling system for coordinating design and cost estimation.,Yes || Includes a case study to illustrate the effectiveness of the methodology.,Yes || Discusses how project participants interpret discipline-specific models and the need to coordinate cross-disciplinary knowledge.,Yes
1080,No || The paper focuses on decision support for selecting measurement methods rather than AI/ML models for cost prediction.,Yes || Describes a decision support system that automates the selection of suitable standard methods of measurement for construction projects.,Yes || The model was validated by comparing results with real life projects and includes questionnaire data from quantity surveyors in the Middle East.,Yes || Includes a questionnaire distributed to quantity surveyors and discusses their usage patterns of different measurement methods.,Yes
1081,Yes || Proposes automatic crack detection algorithms and width measurement algorithms for cost estimation.,Yes || Describes a 3D line laser imaging technology system for automatic crack detection and cost estimation.,Yes || Includes a case study performed on a 30.5-m runway shoulder at Hartsfield-Jackson Atlanta International Airport.,No || Not mentioned or unclear.,Yes
1082,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Includes economic evaluation using actual steel mill by-product gas data and specific process parameters.,No || Not mentioned or unclear.,No
1083,No || Focuses on WBS classification and database modeling structure rather than AI/ML models.,Yes || Describes a database modeling structure and classification system for construction information processing.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as a potential application but the primary focus is on WBS classification and database modeling.
1084,Yes || Proposes adaptive neuro-fuzzy inference system and multiple regression models for penetration rate prediction with performance comparison.,No || Not mentioned or unclear.,Yes || Uses database from seven different drilling sites in Turkey with real operational data.,No || Not mentioned or unclear.,No || Focuses on penetration rate prediction for drilling operations with cost estimation mentioned only as secondary application.
1085,No || Focuses on safety cost estimation methodology rather than AI/ML models.,No || Uses Primavera P6 for scheduling but doesn't describe a new tool or platform.,Yes || Examined 25 actual residential buildings in Istanbul with real project data and cost analysis.,No || Not mentioned or unclear.,Yes
1086,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1087,No || Focuses on investment management principles and cognitive modeling rather than AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Mentions pilot study and practical analysis for improving corporate structure.,No || Not mentioned or unclear.,No || Primary focus is on investment strategy and management rather than cost estimation.
1088,No || The paper compares construction methods rather than proposing or testing AI/ML models.,Yes || Uses BIM software (Revit Architecture and Navisworks Manage) for modeling and cost estimation.,Yes || Implements the comparison on a chosen case study with actual cost calculations for IBS vs CBS methods.,No || Not mentioned or unclear.,Yes
1089,No || Focuses on technical-economic analysis methodology rather than AI/ML models.,No || Describes analysis methods but not software systems or platforms.,No || Presents methodology without specific real-world implementation examples.,No || Not mentioned or unclear.,No || Focuses on extraction process cost analysis rather than construction cost estimation.
1090,No || Does not propose or test any AI/ML models or algorithms.,No || Does not describe software systems or automation tools.,No || Discusses practical considerations but no specific implementation or field test mentioned.,No || Does not discuss human interaction with tools or user factors.,Yes
1091,No || Focuses on ontology learning methodology rather than AI/ML models for cost prediction.,Yes || Describes a semi-automatic approach and framework for automating construction cost estimation processes using ontology technology.,No || Not mentioned or unclear.,Yes || Mentions automating processes for estimators and addresses the labor-intensive nature of manual ontology establishment for software developers.,Yes
1092,Yes || Proposes a modified K nearest neighbors (KNN) algorithm for predicting construction cost index with experimental results showing small prediction error.,No || Not mentioned or unclear.,Yes || Uses real ENR Construction Cost Index data from 1994-2013 and tests the model on actual historical data from twenty U.S. cities.,No || Not mentioned or unclear.,Yes
1093,Yes || Proposes committees of artificial neural networks for cost estimation with focus on improving regression model accuracy and minimizing high-value errors.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1094,No || This is a proceedings collection covering diverse topics with no single model focus.,No || Not mentioned or unclear.,Yes || Includes case studies on client risk management and governmental megaprojects.,Yes || Mentions teaching lean construction and training courses involving human learning.,No || Cost estimation is only one of many diverse construction topics covered.
1095,No || Describes methodologies and processes rather than specific AI/ML models.,No || Focuses on methodologies and processes rather than software systems or platforms.,No || Discusses advanced methodologies but no specific real-world implementation or case study is mentioned.,Yes || Mentions decision-makers and managers using these methodologies for investment decisions and planning.,Yes
1096,Yes || Proposes an optimization scheme that integrates hydraulic performance and cost estimation for geometric design analysis.,No || Not mentioned or unclear.,Yes || Analyzes a case study with over 10000 geometric designs and compares to full-scale linear labyrinth spillway.,No || Not mentioned or unclear.,Yes
1097,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1098,Yes || Title explicitly mentions using artificial neural networks for cost estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1099,No || Focuses on identifying causal factors of delay rather than proposing AI/ML models for cost prediction.,No || Presents a framework for analysis rather than describing software systems or automation tools.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Primary focus is on delay factors and schedule performance rather than cost estimation specifically.
1100,No || This is a comprehensive overview book rather than proposing specific AI/ML models.,Yes || Describes BIM as a tool that integrates schedule and cost data with analysis and design processes.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1101,No || Focuses on hydrological modeling and economic analysis of irrigation practices rather than AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Implements SWAT model with economic component in actual Pinios catchment in Greece with real agricultural data.,No || Not mentioned or unclear.,No
1102,No || This is a survey paper analyzing existing proposals rather than proposing a specific model.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1103,Yes || Establishes a well construction model based on statistical methods for probabilistic time and cost estimation using probability functions.,No || Not mentioned or unclear.,Yes || Model verified by comparison with real historic results from 16 geothermal wells and uses offset data from actual drilling operations.,No || Not mentioned or unclear.,Yes
1104,No || Focuses on semi-automatic processes and specification compliance rather than proposing or testing AI/ML models.,Yes || Describes development of a BIM-based software application prototype for cost estimation.,Yes || Presents results of applying the prototype in an actual building project in China.,No || Not mentioned or unclear.,Yes
1105,Yes || Proposes a Gaussian Process model for cost estimation and compares it with BP neural network for accuracy.,No || Not mentioned or unclear.,Yes || Includes example analysis to test the proposed Gaussian Process model.,No || Not mentioned or unclear.,Yes
1106,No || Focuses on BIM application integration rather than proposing new AI/ML models.,Yes || Describes a BIM-based cost estimation application that integrates with Earned Value management for bridges.,Yes || Includes a case study demonstrating the use of the developed modules.,No || Not mentioned or unclear.,Yes
1107,Yes || Develops construction and O&M cost models from historical cost data for water treatment plants.,No || Not mentioned or unclear.,Yes || Compares model estimates to actual bid prices from three real water treatment plant projects.,No || Not mentioned or unclear.,Yes
1108,No || The paper uses statistical analysis techniques but does not propose AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Study involves industry inputs and analysis of Australian construction industry stakeholder perspectives.,Yes || Extensively discusses stakeholder roles and responsibilities in cost management including industry-wide perceptions.,Yes
1109,No || Focuses on building a platform rather than proposing or testing specific AI/ML models.,Yes || Develops a highway engineering LCC estimation modular platform with conceptual model.,No || No mention of actual implementation in real projects or field testing.,No || Not mentioned or unclear.,Yes
1110,Yes || Develops a cost estimating model using Case-Based Reasoning and Genetic Algorithms with focus on algorithmic approach and model verification.,No || Not mentioned or unclear.,Yes || Uses historical data collection and analysis from actual construction projects and mentions application in design engineering fields.,No || Not mentioned or unclear.,Yes
1111,Yes || Proposes an approximate cost estimation model based on standard quantities with specific input parameters and validation testing.,No || Not mentioned or unclear.,Yes || Uses data from 52 actual steel box girder bridges in Korea with 42 for development and 10 for validation.,No || Not mentioned or unclear.,Yes
1112,Yes || Proposes multi-level artificial neural network mapping models for cost estimation with simulation-based verification.,No || Not mentioned or unclear.,Yes || The feasibility was verified with cases providing technology support for intelligent design.,No || Not mentioned or unclear.,No || Cost estimation is one component alongside intelligent design for complex products.
1113,No || Focuses on risk identification and reporting approaches rather than proposing specific AI/ML models.,No || Discusses reporting approaches but not specific software systems or platforms.,No || Reviews general issues without describing implementation in actual projects.,Yes || Discusses communication of uncertainty to decision makers and effectiveness of reporting approaches to stakeholders.,Yes
1114,Yes || Proposes a combined GM(0,N) and BP neural network model for cost estimation with simulation results and accuracy improvements.,No || Not mentioned or unclear.,No || Uses simulation examples but no actual aircraft project implementation mentioned.,"No || Not mentioned or unclear.,Yes"
1115,Yes || Presents a predictive model to estimate preliminary engineering costs with specific performance metrics.,No || Not mentioned or unclear.,Yes || Uses comprehensive database of actual 2001-2009 bridge project data for model development and validation.,No || Not mentioned or unclear.,Yes
1116,Yes || Proposes an SVR prediction model for hybrid construction cost estimation with experimental results showing accuracy.,No || Not mentioned or unclear.,No || Only mentions experimental results without specifying real-world implementation or actual project data.,No || Not mentioned or unclear.,Yes
1117,Yes || Uses multiple regression analysis to identify factors affecting project success.,No || Not mentioned or unclear.,Yes || Includes interviews with professionals to analyze critical success factors.,Yes || Mentions interviews with professionals and their perceptions of important factors.,No || Cost estimation is one factor among many for project success analysis.
1118,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Examines quality program implementation during actual Qom monorail project with real contract value data.,No || Not mentioned or unclear.,No
1119,No || The paper describes BrIM applications but does not propose or test specific AI/ML models for cost prediction.,Yes || Describes Bridge Information Modeling (BrIM) as an integrated tool/platform for life cycle management including cost estimation.,No || Presents conceptual framework but no actual implementation or field testing mentioned.,No || Does not discuss user interaction or human factors in using BrIM tools.,No || Cost estimation is mentioned as one application but the primary focus is on comprehensive bridge life cycle management.
1120,Yes || Proposes a cost estimation method integrating FALCON and fmGA algorithms with simulation results showing 84.85% accuracy.,No || Not mentioned or unclear.,Yes || Applied to 27 case projects with comparison to conventional methods.,No || Not mentioned or unclear.,Yes
1121,Yes || Proposes a fuzzy control system for cost control with fuzzy reasoning and control processes.,No || Not mentioned or unclear.,Yes || Includes case analysis to demonstrate the fuzzy control system application.,No || Not mentioned or unclear.,Yes
1122,No || Describes a system implementation rather than proposing or testing AI/ML models for cost prediction.,Yes || Develops a BIM/GIS platform system with three modules for cost estimation in preliminary feasibility studies.,No || Applied to national road projects but no mention of actual implementation or field testing with real project data.,No || Not mentioned or unclear.,Yes
1123,No || Focuses on design decisions and work content rather than proposing specific AI/ML models.,Yes || Describes development of Rapid Ship Design Environment (RSDE) integrating design tools and proposes ship costing tools.,Yes || Analyzes real Major Defense Acquisition Programs data over 20 years and addresses actual naval ship design implementation.,Yes || Mentions aid to decision-makers and the need for tools to support cost-effective design decisions.,Yes
1124,Yes || Develops a final cost prediction model using artificial neural networks with data mining achieving 3.67% average absolute percentage error.,Yes || Mentions the model can be converted to a desktop package for quick cost predictions and what-if analysis.,Yes || Uses empirical data to develop the model with 87% of predictions within ±5% of actual final cost.,Yes || Extensively discusses cognitive dispositions and learning in cost estimation and distinguishes between underestimation causes and cost overruns.,Yes
1125,Yes || Proposes a neural network model optimized with genetic algorithm for cost estimation with focus on model topology and parameters.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1126,No || Focuses on information feedback methods and collaborative systems rather than AI/ML models for prediction.,Yes || Proposes a prototype model and BIM software development for collaborative construction with improved information sharing.,No || Mentions a 4-year study but no specific real-world implementation or actual project data is described.,No || Not mentioned or unclear.,No || Cost estimation is one component alongside scheduling in a broader BIM collaboration system.
1127,No || Does not propose or test any AI/ML models; focuses on identifying factors affecting cost estimation accuracy.,No || Does not describe any software systems or tools; studies factors affecting estimation accuracy.,Yes || Includes field survey with 32 owners in Saudi Arabia construction industry and uses real industry data.,Yes || Discusses factors from owners' perspective and includes field survey with construction professionals.,Yes
1128,Yes || Proposes an ANFIS model incorporated with regression analysis for cost prediction with accuracy performance testing.,No || Not mentioned or unclear.,Yes || Tested on datasets of 55 low-cost apartment projects in Indonesia with actual project data.,No || Not mentioned or unclear.,Yes
1129,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Mentions ergonomic details including human factors for intended use.,No
1130,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Describes implementation and operation of an actual pilot-scale CO2 capture plant with real operational data and commissioning results.,No || Not mentioned or unclear.,No
1131,No || The paper focuses on seismic isolation engineering design rather than proposing AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Includes implementation at Coronel Port (Chile) and comparison with actual performance data from the 2010 earthquake.,No || Not mentioned or unclear.,No || Cost estimation is a secondary analysis to support the main focus on seismic isolation technology for wharves.
1132,No || Focuses on ontological inference process rather than AI/ML models for prediction.,Yes || Describes a BIM-based ontological system for automated work item searching and cost estimation.,Yes || Includes a case study demonstrating the ontological inference process in a real-world situation.,Yes || Discusses removing cost estimator subjectivity and helping cost estimators use BIM data more easily.,Yes
1133,No || Focuses on traditional estimation methods like estimate index method and similar engineering budget method rather than AI/ML models.,No || Not mentioned or unclear.,Yes || Applies cost estimation methods to actual university dormitory projects in Guangdong.,No || Not mentioned or unclear.,Yes
1134,No || Uses multivariate time-series tests for analysis rather than proposing AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Uses real NHCCI data from FHWA and actual macroeconomic indicators to analyze temporal relationships.,No || Not mentioned or unclear.,Yes
1135,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Uses Greek prices and analyzes real wastewater treatment systems with specific qualitative and quantitative characteristics.,No || Not mentioned or unclear.,Yes
1136,Yes || Uses PERT approach to model costs with probability ranges and uncertainty factors.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1137,Yes || Proposes a neural network model for cost estimation with accuracy testing and simulation results.,No || Not mentioned or unclear.,Yes || Uses data from 54 actual sewer and water rehabilitation projects from the city of San Diego with real cost data ranging from $800000 to $7 million.,No || Not mentioned or unclear.,Yes
1138,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1139,No || Focuses on philosophical stance and IFC standard analysis rather than proposing specific AI/ML models.,Yes || Discusses BIM-based cost estimation using IFC standard and semantic rich information models.,No || Theoretical analysis without implementation in actual projects or real cost data comparison.,Yes || Mentions that cost estimators have little knowledge about leveraging information within semantic rich models.,Yes
1140,No || Proposes a database framework for data integration rather than an AI/ML model.,Yes || Proposes a construction information database framework (CIDF) for integrating cost and schedule data.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cost estimation is one component of a broader cost-schedule-performance integration system.
1141,Yes || Presents a mathematical model for forest road cost estimation based on engineering properties and terrain parameters.,Yes || Describes a program/software system for cost estimation using engineer's method.,Yes || Model outputs were validated against experts' predictions for an existing forest road project in mountain conditions.,Yes || Compares model outputs with experts' predictions and mentions the model as applicable for evaluation by professionals.,Yes
1142,No || The paper analyzes existing methodologies rather than proposing or testing specific AI/ML models.,Yes || Describes designing a knowledge-based system for 3D parametric model-based quantity take-off and cost estimation.,No || This is a methodology analysis study without implementation in actual construction projects.,No || Not mentioned or unclear.,Yes
1143,Yes || Proposes RBFN neural network models for software effort estimation with performance evaluation and comparison.,No || Not mentioned or unclear.,Yes || Uses ISBSG dataset for model evaluation and validation.,No || Not mentioned or unclear.,No
1144,No || Uses Case Base Reasoning approach for analysis but does not propose or test a specific AI/ML model for prediction.,No || Not mentioned or unclear.,Yes || Analyzes construction cost data from 9 actual tunnels constructed in Greece with real project data.,No || Not mentioned or unclear.,Yes
1145,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Describes a pilot plant that was designed and constructed in an arid area and tested on cold and hot days.,No || Not mentioned or unclear.,No
1146,Yes || Proposes a hybrid CBR system combined with genetic algorithms for cost prediction with optimization and simulation results.,No || Not mentioned or unclear.,Yes || Applied genetic algorithms to real project cases for validation.,No || Not mentioned or unclear.,Yes.
1147,No || Focuses on risk assessment methodology rather than AI/ML models for cost prediction.,Yes || Describes a knowledge-based risk mapping tool developed as a software system for cost estimation.,Yes || Tested with actual construction company data and includes a case study of a building project in Serbia.,Yes || Discusses usability testing with construction experts and incorporates user preferences in tool design.,Yes
