PaperID,Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Abstract
1031,Sattainathan Sharma A.; Iyappan G.R.; Harish J.,"Sattainathan Sharma, A. (57206257436); Iyappan, G.R. (57096039200); Harish, J. (57096008400)",57206257436; 57096039200; 57096008400,"Comparative study of cost and time evaluation in RCC, steel and Composite high rise building",2015,Journal of Chemical and Pharmaceutical Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957074605&partnerID=40&md5=db5c77b4cb9840bd84d6ea4ecf28e195,"This paper deals with the study of composite structure as compare with the concrete and steel structure. The composite structure is far more advantageous over steel and concrete structure regarding Strength, Costs, and Time Period requirements. There is no need for formwork because the steel beam is able to sustain the self weight of steel and concrete, by itself or with the assistance of a few temporary props. Also this paper deals with the design of composite building with fixed base. In the present work, steel concrete composite with RCC options are considered for comparative study of B+G+20 storey of commercial building which is situated in earthquake zone 4 and for earthquake loading, the provisions of IS:1893(Part1)-2002 is considered. For modeling of composite, Steel and RCC structures, E-TABS analysis software is used. The cost effectiveness lies in composite option than R.C.C. option for static or dynamic analysis. Faster construction and better strength can be achieved through the composite construction, attracted us to conduct such comparative study. Effect of each building is studied with respect to time period, base shear, total dead load and most important cost of different schemes and time taken for the construction. Composite structures are the best solution for high rise structure as compared to RCC structure."
1032,,,,Procedia Engineering,2015,Procedia Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962855315&partnerID=40&md5=a589d671fa192c46654f924b2240d9fa,The proceedings contain 41 papers. The topics discussed include: barriers in running construction SME case study on introduction of agile methodology to electrical subcontractor; analysis of the factors stimulating and conditioning application of reverse logistics in construction; assessment of neglected areas in Vilnius city using MCDM and COPRAS methods; autoclaved aerated concrete based on fly ash in density 350 kg/m3 as an environmentally friendly material for energy - efficient constructions; the assessment of development scenarios for suburban metropolitan districts under the multiple criteria methods; analysis of normalization methods influencing results: a review to honour professor Friedel Peldschus on the occasion of his 75th birthday; decision support in production planning of precast concrete slabs based on simulation and learning from examples; and the case-based reasoning model of cost estimation at the preliminary stage of a construction project.
1033,Cheng M.-Y.; Hoang N.-D.,"Cheng, Min-Yuan (26431814100); Hoang, Nhat-Duc (53063830000)",26431814100; 53063830000,Interval estimation of construction cost at completion using least squares support vector machine,2014,Journal of Civil Engineering and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899914175&doi=10.3846%2f13923730.2013.801891&partnerID=40&md5=a4be8ad7b542fc4292ee66a31c4cf340,"Completing a project within the planned budget is the bottom-line of construction companies. To achieve this goal, periodic cost estimation is vitally important not only in the planning phase, but also in the execution phase. Due to high uncertainty in operational environment, point estimation of project cost is oftentimes not sufficient to assist the decision-making process. This study utilizes Least Squares Support Vector Machine (LS-SVM), machine learning based interval estimation (MLIE), and Differential Evolution (DE) to establish a novel model for predicting construction project cost. LS-SVM is a supervised learning technique used for regression analysis. MLIE is employed for inference of prediction intervals. Moreover, our model deploys DE in the cross validation process to search for the optimal values of tuning parameters. The newly developed model, named as EAC-LSPIM, yields results consisting of a point estimate coupled with lower and upper prediction limits, at a certain level of confidence, to accentuate uncertainty. Simulation and performance comparison demonstrate that the new model is capable of delivering accurate and reliable forecasting results. © 2014 Vilnius Gediminas Technical University (VGTU) Press."
1034,Gurcanli G.E.; Bilir S.; Sevim M.,"Gurcanli, G. Emre (8706890800); Bilir, Senem (56721047800); Sevim, Merve (57225358541)",8706890800; 56721047800; 57225358541,Activity based risk assessment and safety cost estimation for residential building construction projects,2015,Safety Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937034773&doi=10.1016%2fj.ssci.2015.07.002&partnerID=40&md5=cd60c34e59e62960dcee139e45532359,"Fatal construction accidents are major problem in Turkish construction industry. Although new comprehensive legislation has been inured recently; level of consciousness in the industry is unsatisfactory and safety is perceived as an extra cost. Small or middle scaled residential projects have a big share in the industry and majority of the fatal accidents usually occur on such work sites. Focus of this study is small and middle-scaled residential construction sites. Drawings, technical specifications, bill of quantities of 25 concrete residential buildings with total areas that vary between 230 and 118,200m2 in Istanbul were examined. Site visits and information gathering were performed from site engineers. This study aims to give an approach for safety cost estimation for the early stages of construction bidding phase using risk assessment activities and construction project scheduling by focusing on construction activities. Additionally, a cost analysis was performed and the results were compared and analyzed with a former project that focused on 30 concrete residential projects in Istanbul. Primavera P6 was utilized for scheduling, and risk assessment was conducted using the techniques applicable for construction projects (i.e., L matrix and Fine-Kinney). Finally, activity-based techniques were used for cost estimation. The results of this study reveal that the percentage of safety cost to the total construction cost is 1.92%. Also, to comply with the current legislation and minimize risks; 0.85 USD per man-hour should be spent according to 2013 rates and safety cost per unit area was found as approximately 5.68 USD. © 2015 Elsevier Ltd."
1035,Messerli J.; Bertrand A.; Bourassa J.; Bélanger G.; Castonguay Y.; Tremblay G.; Baron V.; Seguin P.,"Messerli, Jonathan (56641390700); Bertrand, Annick (7102204171); Bourassa, Josée (56508181200); Bélanger, Gilles (55584175400); Castonguay, Yves (56266360700); Tremblay, Gaëtan (7103380893); Baron, Vern (7006827007); Seguin, Philippe (35730687300)",56641390700; 7102204171; 56508181200; 55584175400; 56266360700; 7103380893; 7006827007; 35730687300,Performance of low-cost open-top chambers to study long-term effects of carbon dioxide and climate under field conditions,2015,Agronomy Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929223515&doi=10.2134%2fagronj14.0571&partnerID=40&md5=8ef2327d26ac3e3af8b7dde335c16d82,"The increase in atmospheric carbon dioxide concentration ([CO2]) and consequent increase in air temperature is expected to have significant effects on plant growth and nutritive value. Studies examining the effects of elevated [CO2] on plants under field conditions have been limited by the inherent difficulty to modify air composition in open air. Here we describe an efficient and inexpensive open-top chamber (OTC) system designed to study the effects of elevated atmospheric [CO2] and temperature on perennial alfalfa–timothy (Medicago sativa L.)–(Phleum pratense L.) mixture. The design and construction of these OTCs are described in detail, along with cost estimation for each component. Eight OTCs, each with 1.2 m2 of ground area (four with elevated [CO2] and four with ambient [CO2]) were fabricated and four control plots of the same dimension were established to assess the chamber effects on plant responses to CO2. The [CO2] in elevated-CO2 chambers fell 93% of the time within ±20% of the targeted 600 μmol mol–1 CO2, based on 10 min averages. The CO2 consumption in elevated-CO2 chambers averaged 3.0 kg CO2 m–2 d–1. To ensure that the environment within OTCs was similar to the surrounding field, growing conditions were determined in all chambers and control plots. Adequate light transmission was observed compared to control plots (93%) and the temperature increase was 0.7°C on average. After two growing seasons of continued use, this system has proven its effectiveness for studying the effects of CO2 and climate change in the field at low cost. © 2015 by the American Society of Agronomy, 5585 Guilford Road, Madison, WI 53711. All rights reserved."
1036,Sequeira S.; Lopes E.,"Sequeira, Sérgio (57188762508); Lopes, Eurico (57200158390)",57188762508; 57200158390,Simple Method Proposal for Cost Estimation from Work Breakdown Structure,2015,Procedia Computer Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962838970&doi=10.1016%2fj.procs.2015.08.559&partnerID=40&md5=f468738be431974da0110fe048891214,"Regardless the extensive literature in project management, the model for cost estimation remains unclear and unexploited mainly in terms of simple methods. Accuracy effort and schedule estimation is still a challenge. This paper introduces stream lining procedures from project work breakdown structure (WBS) evaluating the duration processes and either the input cost hour or the fixed costs. The measures are made via hypothesis testing over the responsibility assignment matrix (RAM). We propose a method for project cost construction using a spreadsheet to create an early-stage budget allocation. In this paper we argue that the simulated cost results present superior accuracy while establishing the applicability of the proposed simulation procedure. Generally, the precision is related with the WBS detailed design. The cost methodology approach offers a simplified decision tool for assessing the construction cost on the project managers' decision. © 2015 The Authors. Published by Elsevier B.V."
1037,Membah J.; Asa E.,"Membah, Joseph (55195596300); Asa, Eric (6507299014)",55195596300; 6507299014,Estimating cost for transportation tunnel projects: A systematic literature review,2015,International Journal of Construction Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939807590&doi=10.1080%2f15623599.2015.1067345&partnerID=40&md5=1a5e0b04ff9ba8cee9ac86fd150b82d1,"Estimating the cost of transportation tunnel projects during the feasibility stage is highly complex and challenging for state/federal agencies. The use of traditional methods to estimate tunnel project costs has led to significant cost underestimation because of limited information/data to compare different alternatives. To address cost underestimation, 40 cost estimating factors were identified by conducting a systematic literature review. Seven electronic databases were searched and articles were screened based on pre-established criteria. Of the 788 articles retrieved, 39 articles published from 1988 to 2013 met the inclusion criteria and were included in the review. The resulting data was analysed using descriptive and Anderson-Darling statistical methods. The results of the analysis showed that the top five factors contributing to cost underestimation were engineering and construction complexities, geological conditions, cost estimation, market conditions, and environmental requirements. The findings from the review showed the importance of incorporating the effect of each determined estimating factor by state/federal agencies or metropolitan planning organizations when preparing initial estimates to avoid cost underestimation and/or to reduce the errors associated with such estimates. Future research may be warranted to explore the possibility of weighting the factors. © 2015 Taylor and Francis."
1038,Engelhardt S.; Schwarz J.; Thewes M.,"Engelhardt, Stephan (55386929000); Schwarz, Jürgen (56402530400); Thewes, Markus (7003336870)",55386929000; 56402530400; 7003336870,The lifecycle cost concept for implementation of economic sustainability in tunnel construction; [Das Lebenszykluskostenkonzept zur Umsetzung der ökonomischen Nachhaltigkeit von Tunnelbauwerken],2014,Geomechanik und Tunnelbau,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908503731&doi=10.1002%2fgeot.201400026&partnerID=40&md5=bddfa965fcb4ae7e13a72bab227e043b,"Sustainability denotes careful stewarding of available resources, observing ecological, economic and social criteria over the entire lifecycle. From the economic point of view, it is not sufficient to base a design on construction costs alone. Rather all costs incurred over the lifecycle should be taken into consideration using lifecycle cost estimation. The University of the Bundeswehr, Munich, and the Ruhr-University, Bochum, have cooperated to develop a lifecycle cost model for tunnels in form of a Modular-Process-Model. The concept of lifecycle cost estimation, which is already used as standard in many fields, forms the starting point and is adapted and further developed to suit the specifications of tunnels. In order to implement a structured and transparent procedure for the determination of lifecycle costs, a hierarchic and modular structuring of the overall construction works is first carried out. The modules mostly represent independent units, which are built up in a generally valid manner for comparability. Various processes and attributes are then assigned to the modules, independent of the relevant lifecycle phase. The chosen method of structuring enables modular recording and evaluation of the lifecycle costs. Alternatively, the evaluation can be related to a process or a lifecycle phase. The modular format and the external interfaces also permit an evaluation and optimisation of singular elements. A probability-based extension of the model is provided to consider uncertainties, using a Monte Carlo simulation. The Modular-Process-Model is a lifecycle cost model, which can be used to determine and optimise the total costs of a tunnel in all project phases. This makes it possible to effectively achieve the aims of economic sustainability. © 2014 Ernst & Sohn Verlag für Architektur und technische Wissenschaften GmbH & Co. KG, Berlin."
1039,Jaafari A.; Najafi A.; Rezaeian J.; Sattarian A.; Ghajar I.,"Jaafari, Abolfazl (56095916900); Najafi, Akbar (24512758700); Rezaeian, Javad (15078048200); Sattarian, Ali (10041742000); Ghajar, Ismael (54585193300)",56095916900; 24512758700; 15078048200; 10041742000; 54585193300,Planning road networks in landslide-prone areas: A case study from the northern forests of Iran,2015,Land Use Policy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930934016&doi=10.1016%2fj.landusepol.2015.04.010&partnerID=40&md5=479f37fdcdd109ea173a6b947084afa3,"Road development in mountainous forestlands can lead to naturally formed slopes being disturbed.Efficient planning methodologies can assist forest engineers in either preventing or reducing the environmental impacts of forest roads. In this study, we first prepared an inclusive landslide susceptibility map for our study area using a Bayesian model. We next designed 12 road network alternatives using PEGGER, an ArcView GIS extension. We extracted the values of these alternatives from the susceptibility map to evaluate their environmental feasibility. We also evaluated the alternatives from an economic perspective using a model for conducting cost estimates of the forest roads. Our results show that this approach is useful for identifying the alternative that meets environmental and economic goals. The policy implications of this study suggest that if the development of road networks in mountainous areas is an important forestry goal, mechanisms should be aimed primarily at controlling slope instability. © 2015 Elsevier Ltd."
1040,Xu S.; Liu K.; Tang L.C.M.,"Xu, Shen (59854558100); Liu, Kecheng (7404200099); Tang, Llewellyn C. M (35216876300)",59854558100; 7404200099; 35216876300,Applying organizational semiotics for developing Knowledge-Based cost estimation of construction project,2015,IFIP Advances in Information and Communication Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925246708&doi=10.1007%2f978-3-319-16274-4_9&partnerID=40&md5=ac6063760d50b40dac3684790e3b7a6b,"Cost estimation is a dynamic and knowledge intensive process. Current practice of construction cost estimation is a process with fragmented knowledge. In order to have an integrated process, semantic should be modelled in respect to pragmatic. The investigation of BIM-based cost estimation confirmed that IFC can provide construction project semantics but incapable of relating domain semantics and pragmatics. In order to overcome this gap, we adopt organizational semiotics to fully reveal semantic units of cost estimation from a process perspective. Pilot study confirms feasibility of this approach. Future research will be a case study to collect all the instances for semantic units. Then semantic consistency and pragmatic implementation should be realized by the applications. This research highlights the importance of alignment between semantic (domain ontology) and pragmatic (meaning in use), it contributes also to identify a new approach of knowledge engineering for construction professional services under BIM environment. © 2015 IFIP International Federation for Information Processing."
1041,Genge N.; Remde C.; Weynand K.; Kuck J.,"Genge, N. (56868674100); Remde, C. (56868647200); Weynand, K. (6507646209); Kuck, J. (24463492300)",56868674100; 56868647200; 6507646209; 24463492300,PREON box – the speedy tool for industrial hall constructions,2015,"Tubular Structures - Proceedings of the 15th International Symposium on Tubular Structures,  ISTS 2015",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942251444&doi=10.1201%2fb18410-11&partnerID=40&md5=2436a6f7a8ab3420f4453e995be32724,"The worldwide demand for wide-span industrial buildings is constantly growing, especially in terms of logistics centers and hangars, just to name a few.To meet this trend PREON box, a modular construction system, has been developed. It is an in-house development including a patented steel roof frame system that enables the economic realization of large spans up to 100 meters. PREON box allows combining standardized manufacturing with high flexibility to respond to customer’s needs. To make even the planning process more efficient, a software tool has been developed specifically for the design of this system. The software is based on a specification defining the entire load bearing structure (parameterized components, girder types, preferred sections, standardized joints, requirements/limitation given by Eurocode). After entering the system data, which is mainly the dimension of the hall and a few boundary conditions for the loads, the structure is generated automatically. As a result of the subsequent iterative calculation, a complete design note and the bill of material including cost estimation is received. By using the software it is possible to save material and cut process time.The further development of the software is planned until 2016 and includes the automated preparation of workshop drawings, as well as various options for individual adaption. © 2015 Taylor & Francis Group, London."
1042,Shin Y.,"Shin, Yoonseok (55569945300)",55569945300,Application of boosting regression trees to preliminary cost estimation in building construction projects,2015,Computational Intelligence and Neuroscience,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939857112&doi=10.1155%2f2015%2f149702&partnerID=40&md5=a8e017867254bc556d801e7298e79feb,"Among the recent data mining techniques available, the boosting approach has attracted a great deal of attention because of its effective learning algorithm and strong boundaries in terms of its generalization performance. However, the boosting approach has yet to be used in regression problems within the construction domain, including cost estimations, but has been actively utilized in other domains. Therefore, a boosting regression tree (BRT) is applied to cost estimations at the early stage of a construction project to examine the applicability of the boosting approach to a regression problem within the construction domain. To evaluate the performance of the BRT model, its performance was compared with that of a neural network (NN) model, which has been proven to have a high performance in cost estimation domains. The BRT model has shown results similar to those of NN model using 234 actual cost datasets of a building construction project. In addition, the BRT model can provide additional information such as the importance plot and structure model, which can support estimators in comprehending the decision making process. Consequently, the boosting approach has potential applicability in preliminary cost estimations in a building construction project. © 2015 Yoonseok Shin."
1043,Sayadi A.R.; Hamidi J.K.,"Sayadi, Ahmad Reza (57205864012); Hamidi, Jafar Khademi (26027025100)",57205864012; 26027025100,A Preliminary Cost Estimation for Short Tunnels Construction Using Parametric Method,2015,Engineering Geology for Society and Territory - Volume 1: Climate Change and Engineering Geology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945157813&doi=10.1007%2f978-3-319-09300-0_88&partnerID=40&md5=76ea49cc5a16db154ef175e0ce5c0f78,"Cost estimation is one of the most critical tasks in pre-feasibility studies and planning of tunnel construction projects. This paper presented a cost estimation model for excavation and support of short tunnels using uni-variate (UVR) and multi-variate regression (MVR) techniques. Hence, a database consisting of two explanatory variables including RMR and tunnel depth along with tunnel support and excavation costs was compiled from 12 tunnel sections in the North-West of Iran. Mean absolute error rates of 13 and 11 %, respectively obtained from UVR and MVR analyses provide promising initial results of relation between rock mass characterization and construction costs in the phase of pre-feasibility study. However, an extended database is required to extend the finding of this study to develop a universal model. © Springer International Publishing Switzerland 2015."
1044,Ristorto G.; Mazzetto F.; Guglieri G.; Quagliotti F.,"Ristorto, G. (56826035600); Mazzetto, F. (6506609958); Guglieri, G. (6701332943); Quagliotti, F. (6603855231)",56826035600; 6506609958; 6701332943; 6603855231,Monitoring performances and cost estimation of multirotor Unmanned Aerial Systems in precision farming,2015,"2015 International Conference on Unmanned Aircraft Systems, ICUAS 2015",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941048946&doi=10.1109%2fICUAS.2015.7152329&partnerID=40&md5=f3f74666933166a2071520ed6f615d52,"Unmanned Aerial Systems are very promising in monitoring applications. Their flexibility, ease of operation and relative low-cost construction make them the best candidates for monitoring activity in precision farming, where prompt management reactions to plant disease, lack of plants nutrients and environmental changes are the focal point to farm efficiency and productivity. In this paper, we show the results of an analysis of monitoring performances and cost estimation of multirotor Unmanned Aerial Systems applied to crop monitoring tasks in paddy fields. The analysis takes into account the Italian regulatory prescriptions and the investigation of two different kind of commercial sensors. © 2015 IEEE."
1045,Kim H.; Orr K.; Shen Z.; Moon H.; Ju K.; Choi W.,"Kim, Hyunjoo (55739516300); Orr, Kevin (56287249600); Shen, Zhenhua (56287904800); Moon, Hyounseok (35173329400); Ju, Kibum (36459899100); Choi, Wonsik (56287599800)",55739516300; 56287249600; 56287904800; 35173329400; 36459899100; 56287599800,Highway alignment construction comparison using object-oriented 3D visualization modeling,2014,Journal of Construction Engineering and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929091425&doi=10.1061%2f%28ASCE%29CO.1943-7862.0000898&partnerID=40&md5=5f6e2b45d130021872083b76c077d721,"The major aspects of highway planning are cut and fill calculations, cost estimation, and schedule duration planning. These items of highway planning are often complex and time consuming. Designing and comparing different alignment alternatives is even more time consuming and tends to be very costly. When planning for a new highway alignment, the general practice is to identify multiple alignment options and determine the best option based on multiple factors. This research proposes to automatically generate multiple alignment alternatives and the cut and fill quantities, costs, and schedules associated with each alternative in comparing different highway alignment alternatives. Building information modeling (BIM) technology has been increasingly used in resolving the complexity of a project in the building industry. However, the development of highway data schema and model using an object-oriented three-dimensional (3D) visualization is still underway and has not been fully implemented yet. This research proposes an object-oriented data model in compliance with ISO 10303 for highway design and construction. With the newly proposed data structure in highway design and construction, the automation of cost estimating and duration scheduling was achieved in identifying and comparing an optimum solution for alternative modeling and data output whose values provided aid in the selection process of design comparison. In summary, the explicit contribution to the body of knowledge that this paper claims is to propose a research procedure to improve current highway design and construction practices by applying a 3D object-oriented modeling approach to solve the problem of time-consuming highway planning related to alignment comparison. © 2014 American Society of Civil Engineers."
1046,Jin R.; Han S.; Hyun C.; Kim J.,"Jin, Runzhi (54895739500); Han, Sangwon (55549705000); Hyun, Changtaek (24398768300); Kim, Jihoon (56206578900)",54895739500; 55549705000; 24398768300; 56206578900,Improving accuracy of early stage cost estimation by revising categorical variables in a case-based reasoning model,2014,Journal of Construction Engineering and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902479502&doi=10.1061%2f%28ASCE%29CO.1943-7862.0000863&partnerID=40&md5=39a7ed055ca7f669edba55897a8585e1,"For the overall success of a construction project, it is very important to accurately estimate the construction cost from the early stage. However, the limited information available in the early stage makes the cost estimation challenging. Recently, there has been an increase in the use of case-based reasoning (CBR) to estimate construction cost in the early stage. Based on the hypothesis that similar problems have similar solutions, CBR searches for the most similar cases (e.g., previous projects) for a given problem (e.g., a new project). However, because no previous project is exactly the same as a new project, the solutions applied to the past project may not work for the new project, especially when there are no sufficient cases stored in the case base. To overcome this limitation, some studies have highlighted the importance of revision algorithms to account for the deviation of the new project and the identified similar past projects. These studies, however, were limited in considering the deviation of numerical variables while the majority of variables available in the early stage is more categorical (e.g., structural system or underground condition) than numerical (e.g., gross floor area). Based on this recognition, this paper presents a revision method considering the deviation of categorical and numerical variables using regression analysis. Application to multihousing projects confirmed that the proposed CBR model can increase the accuracy of construction cost estimation. This paper is of relevance to researchers in terms of providing a theoretical basis to incorporate both numerical and categorical variables in revising the CBR model. This paper is also of value to practitioners with regard to providing an accurate cost estimation tool in the early stage of construction projects. © 2014 American Society of Civil Engineers."
1047,Sanada H.; Sato T.; Horiuchi Y.; Mikake S.; Okihara M.; Yahagi R.; Kobayashi S.,"Sanada, H. (24391348700); Sato, T. (56924018100); Horiuchi, Y. (56717277200); Mikake, S. (8141235200); Okihara, M. (6602778756); Yahagi, R. (55839482100); Kobayashi, S. (57205206423)",24391348700; 56924018100; 56717277200; 8141235200; 6602778756; 55839482100; 57205206423,"Excavation cycle times recorded during sinking of a deep shaft in crystalline rock - A case example at Ventilation Shaft of Mizunami URL, Japan",2015,Tunnelling and Underground Space Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936884992&doi=10.1016%2fj.tust.2015.06.012&partnerID=40&md5=470ae8172ad0d54bd9e5de48c357d1d3,"Realistic and properly planned excavation cycle times developed prior to tunnel construction are an important issue for dependable project management, including cost estimation and time saving. Existing design studies, conducted to estimate the total cost for geological disposal, have been limited to estimates of approximate construction total time schedules. There were no case studies which compared the detailed excavation cycle time used in design studies with the actual results from an excavation taking into account each excavation cycle operation and task. In this paper, analyses of actual cycle time recorded during the sinking of the Ventilation Shaft of the Mizunami Underground Research Laboratory and comparison with the planned cycle time developed in the design stage are intended for an evaluation of the baseline work plan and schedule and for optimization of the calculations for application to shaft construction in any future repository in Japan. Actual times to perform three operations, drill and blast, muck removal and concrete lining emplacement were much larger than expected and represent the largest portion of the total excavation cycle time and had the largest impact on the efficiency of the excavation cycles and schedules. Operating at increasingly greater depths and excavating harder, more competent rock combined to significantly affect the shaft sinking speed. The underlying reasons for increases in actual times for the excavation cycle operations compared to their design estimates fall into three categories: constraints on construction; to ensure safety; and maintenance. © 2015 Elsevier Ltd."
1048,Alzebdeh K.; Bashir H.A.; Al Siyabi S.K.,"Alzebdeh, K. (6603082844); Bashir, H.A. (7003525103); Al Siyabi, S.K. (56672884900)",6603082844; 7003525103; 56672884900,Applying interpretive structural modeling to cost overruns in construction projects in the sultanate of Oman,2015,Journal of Engineering Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930591822&doi=10.24200%2ftjer.vol12iss1pp53-68&partnerID=40&md5=22e1a7fcc1097ae7485e09c2ecc374e4,"Cost overruns in construction projects are a problem faced by project managers, engineers, and clients throughout the Middle East. Globally, several studies in the literature have focused on identifying the causes of these overruns and used statistical methods to rank them according to their impacts. None of these studies have considered the interactions among these factors. This paper examines interpretive structural modelling (ISM) as a viable technique for modelling complex interactions among factors responsible for cost overruns in construction projects in the Sultanate of Oman. In particular, thirteen interrelated factors associated with cost overruns were identified, along with their contextual interrelationships. Application of ISM leads to organizing these factors in a hierarchical structure which effectively demonstrates their interactions in a simple way. Four factors were found to be at the root of cost overruns: instability of the US dollar, changes in governmental regulations, faulty cost estimation, and poor coordination among projects' parties. Taking appropriate actions to minimize the influence of these factors can ultimately lead to better control of future project costs. This study is of value to managers and decision makers because it provides a powerful yet very easy to apply approach for investigating the problem of cost overruns and other similar issues."
1049,,,,"16th IFIP WG 8.1 International Conference on Informatics and Semiotics in Organisations, ICISO 2015",2015,IFIP Advances in Information and Communication Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925337929&partnerID=40&md5=1e2c4b87a0c8b433e2ff7efbf2575762,"The proceedings contain 21 papers. The special focus in this conference is on Organisational Semiotics, Applications, Information Systems, Services, Complex System Modelling and Simulation. The topics include: A generative grammar for modal syntagms; a semiotic approach to critical reasoning; information systems and sign systems; a semiotic approach to investigate quality issues of open big data ecosystems; virtual process control modelling in organisational semiotics; assessing pragmatic interoperability for process alignment in collaborative working environment; applying organizational semiotics for developing knowledge-based cost estimation of construction project; an analysis informed by organizational semiotics artifacts; the adoption of smartphones among older adults in china; towards automatic generation of project-based solutions; translation of requirements engineering models; a meta-heuristic approach for copper price forecasting; simulation on resident individual trip choice decision making; creativity filter and start-ups to resolve the innovation paradox and the relationship between flexible human resource management and enterprise innovation performance."
1050,King N.; Bechthold M.; Kane A.; Michalatos P.,"King, Nathan (55860830900); Bechthold, Martin (6505474441); Kane, Anthony (55311745100); Michalatos, Panagiotis (45561662300)",55860830900; 6505474441; 55311745100; 45561662300,"Robotic tile placement: Tools, techniques and feasibility",2014,Automation in Construction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894906184&doi=10.1016%2fj.autcon.2013.08.014&partnerID=40&md5=d65778dcde27a440305695aa842f6924,"The project develops an integrated digital workflow [1] for robotic tile placement that allows off-site use of industrial robotics for on-site tiled surfaces, and tests feasibility in the context of the tile industry. The proposed approach overcomes limitations of existing methods that focus on efficiency [2,3] by enabling unique and complex tile patterns. A design experiment is used during the development of computational and robotic technologies. Integration and industry implementation were studied through interviews with experts, field studies, and literature research that included a review of U.S. tile installation standards [4]. A Rhinoceros™ based digital workflow was developed that includes complex pattern generation, integrated robotic programming and simulation, and cost/time estimation. The paper describes strategies for pre-tiled panels, recommends specific material combinations, and includes basic cost estimation in the context of construction. Robotic tile placement ultimately adds value by moving installation of tile patterns to the place of tile production. © 2013 Elsevier B.V."
1051,Gómez H.D.; Orobio A.,"Gómez, Hernán Darío (56906662000); Orobio, Armando (57216295935)",56906662000; 57216295935,Effects of uncertainty on scheduling of highway construction projects; [Efectos de la incertidumbre en la programación de proyectos de construcción de carreteras],2015,DYNA (Colombia),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944453035&doi=10.15446%2fdyna.v82n193.47453&partnerID=40&md5=c0d6900fd45c6555ef8efe3e3194c065,"Time and cost overruns in highway construction are usual in Colombia. Contractors regularly fail in cost estimation and construction scheduling. An analysis of important factors on time and cost overruns in highway construction in southwest Colombia is presented in this paper. Forty highway construction projects were reviewed. Data from construction documents were collected to prepare a data base for probabilistic analysis. Data collected include scheduled construction time and cost, actual construction time and cost, and unexpected events which could have affected the construction process. Data were used in a probabilistic cost and schedule risk analysis to identify critical factors in construction time and cost overruns in the region. It was found that the activities that most affect the time and cost overruns are the construction of the granular base and the asphalt layer. The most common causes of construction overruns were found to be poor cost and duration estimates, rain, and materials supply problems. © The author; licensee Universidad Nacional de Colombia."
1052,Katoh A.; Hayafune H.; Kotake S.,"Katoh, Atsushi (16316175800); Hayafune, Hiroki (8298557900); Kotake, Shoji (56212198400)",16316175800; 8298557900; 56212198400,Design features and cost reduction potential of JSFR,2014,Nuclear Engineering and Design,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914680426&doi=10.1016%2fj.nucengdes.2014.08.031&partnerID=40&md5=42a29adb588bd6338e25ed90220c0800,"To improve the economic competitiveness of the Japan Sodium-cooled Fast Reactor (JSFR), several innovative designs have been introduced, e.g. reduction of number of main cooling loop, shorter pipe arrangement by adopting thermally durable material, in fact high chromium ferrite steel, a compact reactor vessel (RV), integration of a primary pump and an intermediate heat exchanger (IHX). Since they had not been introduced in the past and existing reactors, a new approach for construction cost estimation has been introduced to handle innovative technologies, for example, concerning different kinds of material, fabrication processes of equipment etc. As results of JSFR construction cost estimations based on the new method and the latest conceptual JSFR design, economic goals of Generation IV nuclear energy systems can be achieved by expecting the following cost reduction effects: commodity reduction by adopting innovative design, an economy of scale by power generation increase, learning effect etc. It is well analyzed quantitatively that feasibility of innovative designs is essential for economic competitiveness of JSFR. © 2014 Elsevier B.V. All rights reserved."
